thousand,千、千の,せん、せんの
voice,声、発言、意見を表明する手段。,こえ、はつげん、いけんをひょうめいするしゅだん。
vastness,広大さ、膨大さ,こうだいさ、ぼうだいさ
come into being,生まれ出る、生ずる,うまれでる、しょうずる
amaze,をびっくりさせる、驚かせる,をびっくりさせる、おどろかせる
breadth,幅、広がり、範囲,はば、ひろがり、はんい
let go of,から手を離す,からてをはなす
arthritis,関節炎、関節の炎症,かんせつほのお、かんせつのえんしょう
head on,正面から、真向かいに,しょうめんから、まっこうかいに
least,最も少ない、最小の。at least(少なくとも)、the least expensive(最も安価な)など。,もっともすくない、さいしょうの。at least(すくなくとも)、the least expensive(もっともあんかな)など。
arrange,手配する、準備する。,てはいする、じゅんびする。
natural disaster,自然災害、天災,しぜんさいがい、てんさい
incarcerate,投獄する,とうごくする
similar to,に似ている、類似している,ににている、るいじしている
prolific,多産の,たさんの
city of angels,天使の街(ロサンゼルス),てんしのまち(ろさんぜるす)
victim,被害にあった人。,ひがいにあったにん。
mythology,神話,しんわ
strawberry,いちご,いちご
oblivious,忘れっぽい、物忘れの激しい,わすれっぽい、ものわすれのはげしい
infuriate,を激怒させる,をげきどさせる
buyout,買占め、大量に買い占める行為、買い集め,かいしめ、たいりょうにかいしめるこうい、かいあつめ
in-person,対面で行うこと、実際に。,たいめんでおこなうこと、じっさいに。
tumor,腫瘍、異常な細胞の塊,しゅよう、いじょうなさいぼうのかい
anyway,とにかく、それはそうと,とにかく、それはそうと
nun,修道女,しゅうどうじょ
angle,角度、角,かくど、かく
swirl,渦巻く、旋回する,うずまきく、せんかいする
entrepreneurship,起業家精神、創業者の心,きぎょうかせいしん、そうぎょうしゃのこころ
depot,倉庫、車庫、基地,そうこ、しゃこ、きち
long-term,長期的な計画や視野。,ちょうきてきなけいかくやしや。
discussion,議論、討論,ぎろん、とうろん
embankment,堤防,ていぼう
pitiful,哀れな、かわいそうな,あわれな、かわいそうな
dialogue,対話,たいわ
blue,青い,あおい
infringe on,侵害する、侵犯する,しんがいする、しんぱんする
expecting,期待を抱いている状態。,きたいをだいているじょうたい。
fade away,消えていく、消滅していく,きえていく、しょうめつしていく
look to,を頼りにする、信頼する、頼りにする,をたよりにする、しんらいする、たよりにする
brag,自慢,じまん
atop,頂上に、または上に位置して。,ちょうじょうに、またはうえにいちして。
john,男性名、古典的,だんせいめい、こてんてき
instructor,教官、指導員、講師,きょうかん、しどういん、こうし
shady,陰になった、日陰になった,いんになった、ひかげになった
in advance,前もって、あらかじめ,まえもって、あらかじめ
casual,リラックスした、形式的でない。,りらっくすした、けいしきてきでない。
tonic,強壮剤、健康促進剤,きょうそうざい、けんこうそくしんざい
gregarious,群生した,ぐんせいした
aptitude,何かに対する自然な能力。,なにかにたいするしぜんなのうりょく。
slide,滑る、滑走する,すべる、かっそうする
buy out,買い取る、株を買い取る,かいとる、かぶをかいとる
jessica,女性名、現代的,じょせいめい、げんだいてき
mouth,口,くち
nine,9,9
alleviate,和らげる、軽減する,やわらげる、けいげんする
nurture,を養う、養育する,をやしなう、よういくする
concentrate on,に集中する、専念する,にしゅうちゅうする、せんねんする
be in favor of,に賛成である,にさんせいである
think over,熟考する、よく考える,じゅっこうする、よくかんがえる
data mining,データマイニング。大量のデータから有用な情報やパターンを抽出すること。,でーたまいにんぐ。たいりょうのでーたからゆうようなじょうほうやぱたーんをちゅうしゅつすること。
approximately,約、おおよそ。大まかな数値や範囲を示し、正確ではないが近似の値を表します。,やく、おおよそ。おおまかなすうちやはんいをしめし、せいかくではないがきんじのあたいをあらわします。
uncertainty,不確実性、不明確さ,ふかくじつせい、ふめいかくさ
hang over,持ち越される、継続する,もちこされる、けいぞくする
law enforcement,法の執行、法の適用、法の施行,ほうのしっこう、ほうのてきよう、ほうのしこう
math,数学,すうがく
chum,仲良し、親友,なかよし、しんゆう
ten,10,10
ambush,待ち伏せ、待ち構え、伏兵,まちふせ、まちかまえ、ふくへい
orphan,孤児,こじ
echo,こだま、反響,こだま、はんきょう
dish out,盛り付ける、配膳する,もりつける、はいぜんする
get rid of,を取り除く、除去する,をとりのぞく、じょきょする
acupuncture,鍼,はり
actual,実際の、現実の。現実に存在する、または起こっている状態。,じっさいの、げんじつの。げんじつにそんざいする、またはおこっているじょうたい。
wart,いぼ,いぼ
tinge,色合い,いろあい
prelude,前触れ、予兆,まえぶれ、よちょう
neutralize,中和する、中立化する,ちゅうわする、ちゅうりつかする
defeat,敗北させる、打ち負かす,はいぼくさせる、うちまかす
hope for,を願う,をねがう
precaution,用心、予防策,ようじん、よぼうさく
emergency,緊急事態、緊急,きんきゅうじたい、きんきゅう
rub off,こすり落とす,こすりおとす
be well of,元気で,げんきで
fiscal policy,財政政策。政府の歳入・歳出を通じた経済運営。,ざいせいせいさく。せいふのさいにゅう・さいしゅつをつうじたけいざいうんえい。
majesty,威厳や荘厳さ、主権の状態。,いげんやそうごんさ、しゅけんのじょうたい。
at most,多くとも、せいぜい,おおくとも、せいぜい
paranoia,妄想症、幻想症,もうそうしょう、げんそうしょう
install,導入する、システムや機器を設置する。,どうにゅうする、しすてむやききをせっちする。
periodic,定期的な、周期的な,ていきてきな、しゅうきてきな
shabby,みすぼらしい,みすぼらしい
contend with,と戦う、張り合う,とたたかう、はりあう
haphazard,偶然,ぐうぜん
lethal,致命的な,ちめいてきな
smolder,燻る,いぶる
clay,粘土、陶土,ねんど、とうど
vulnerable,弱い、傷つきやすい,よわい、きずつきやすい
furlough,休暇,きゅうか
souvenir,記念となる品物。,きねんとなるしなもの。
lay off,を解雇する、クビにする,をかいこする、くびにする
ransack,捜しまわる,さがしまわる
filth,汚物,おぶつ
startle,驚かせる、ぎょっとさせる,おどろかせる、ぎょっとさせる
carve,彫る、切り分ける,ほる、きりわける
intimacy,親密さ、親交関係,しんみつさ、しんこうかんけい
greeting,あいさつ、初対面の言葉や仕草。,あいさつ、しょたいめんのことばやしぐさ。
a couple of,少数の,しょうすうの
electrode,電極、電流を通す部品、電流を通す部品,でんきょく、でんりゅうをとうすぶひん、でんりゅうをとうすぶひん
fabric,織物の素材全般。,おりもののそざいぜんぱん。
belabor,冗長に述べる、くどくど言う,じょうちょうにのべる、くどくどいう
meager,貧弱な,ひんじゃくな
flop,ばったり倒れる、突然倒れる,ばったりたおれる、とつぜんたおれる
born,生まれる,うまれる
contaminant,汚染物質、環境に害を与える物質,おせんぶっしつ、かんきょうにがいをあたえるぶっしつ
enrich,豊かにする、価値を高める,ゆたかにする、かちをたかめる
municipal,市政の。都市の行政に関する。,しせいの。としのぎょうせいにかんする。
feeble,虚弱な、力のない,きょじゃくな、ちからのない
sibling,兄弟姉妹(血縁関係),きょうだいしまい(けつえんかんけい)
picture,絵、写真、画像。,え、しゃしん、がぞう。
oppress,を抑圧する、虐げる,をよくあつする、しいたげる
saving account,普通預金、通常の預金、銀行預金,ふつうよきん、つうじょうのよきん、ぎんこうよきん
swallow up,飲み込む、使い尽くす,のみこむ、つかいつくす
midnight,真夜中,まよなか
diversity,多様性、様々な違いの存在,たようせい、さまざまなちがいのそんざい
cardiovascular,心血管の,しんけつかんの
universal,普遍的な、全世界共通の,ふへんてきな、ぜんせかいきょうつうの
take over,〜を引き継ぐ、継承,〜をひきつぐ、けいしょう
broad,広い、拡大する,ひろい、かくだいする
present,現在の、出席している、提示する。,げんざいの、しゅっせきしている、ていじする。
allegory,たとえ話、比喩,たとえはなし、ひゆ
differ,異なる、違う,ことなる、ちがう
so as to,するように、なるように,するように、なるように
retailer,小売業者、販売店,こうりぎょうもの、はんばいてん
gulp,急いで飲み込む,いそいでのみこむ
knack,こつ、要領,こつ、ようりょう
pile in,どっと中に入る、一気に入る,どっとなかにいる、いっきにいる
fall,落ちる 降りる,おちる おりる
absorb,を吸収する、吸い取る,をきゅうしゅうする、すいとる
resurrection,復活、再生,ふっかつ、さいせい
decide on,を決める,をきめる
twitter,さえずる,さえずる
hummus,ひよこ豆のペースト,ひよこまめのぺーすと
instructional,教育の、指導的な,きょういくの、しどうてきな
ordinance,条例、地方自治体が制定する法律、法令,じょうれい、ちほうじちたいがせいていするほうりつ、ほうれい
stun,を気絶させる,をきぜつさせる
make ends meet,収支を合わせる、つじつまを合わせる,しゅうしをあわせる、つじつまをあわせる
squander opportunities,機会を無駄にする,きかいをむだにする
patriarch,家長、家族の主,かちょう、かぞくのしゅ
had better do,したほうがいい,したほうがいい
approval,承認。提案や要求に対して公式に認めることを指します。,しょうにん。ていあんやようきゅうにたいしてこうしきにみとめることをさします。
stow,詰め込む,つめこむ
benefit,利益、に利益をもたらす。良い結果や効果をもたらすこと。,りえき、にりえきをもたらす。よいけっかやこうかをもたらすこと。
enjoy,楽しむ,たのしむ
eavesdrop,盗聴する,とうちょうする
expend,費やす、消費する,ついやす、しょうひする
cobble,修繕する、修理する,しゅうぜんする、しゅうりする
discourage,気持ちをがっかりさせる。,きもちをがっかりさせる。
thought,考えること、意見,かんがえること、いけん
politely,丁寧に、礼儀正しく,ていねいに、れいぎただしく
lid,容器の蓋。,ようきのふた。
moment,瞬間。非常に短い一瞬や、特定の重要な場面を意味します。,しゅんかん。ひじょうにみじかいいっしゅんや、とくていのじゅうようなばめんをいみします。
in a bad temper,不機嫌に、機嫌の悪い,ふきげんに、きげんのわるい
memorandum,覚書、備忘録,おぼえがき、びぼうろく
daily,日常の,にちじょうの
brighten,を明るくする、光らせる,をあかるくする、ひからせる
drink in,吸収する、見とれる,きゅうしゅうする、みとれる
flip,軽くはじいたり回したり。,かるくはじいたりまわしたり。
charge,責任や非難、または料金として請求すること。,せきにんやひなん、またはりょうきんとしてせいきゅうすること。
drapery,カーテン、垂れ布,かーてん、たれぬの
temperament,気質、性質,きしつ、せいしつ
comparison,比較、二つ以上のものの違いや類似点を調べること。,ひかく、ふたついじょうのもののちがいやるいじてんをしらべること。
adjective,形容詞、形容する言葉,けいようし、けいようすることば
partition,仕切り、分割,しきり、ぶんかつ
testimony,証言、申し立て,しょうげん、もうしたて
mediocre,平凡な、月並みの,へいぼんな、つきなみみの
tranquilize,静める,しずめる
emily,女性名、可愛い,じょせいめい、かわい
checkup,健康診断、点検,けんこうしんだん、てんけん
maximum,達成可能な最大の限界。,たっせいかのうなさいだいのげんかい。
affiliated,提携した、連携した,ていけいした、れんけいした
polite,礼儀正しい、丁寧な,れいぎただしい、ていねいな
over and over again,何度も繰り返し,なんどもくりかえし
in terms of,に関して、の点から,にかんして、のつから
impeach,を責める、弾劾する,をせめる、だんがいする
make do with,で間に合わせる、でやりくりする,でまにあわせる、でやりくりする
department,部門、課。会社の組織単位。,ぶもん、か。かいしゃのそしきたんい。
rostrum,演壇,えんだん
laity,信徒たち,しんとたち
hark,聞く,きく
give in,降伏する、投降する,こうふくする、とうこうする
for now,今のところは,いまのところは
elusive,捉えどころのない、不確定な,とらえどころのない、ふかくていな
lately,最近、近ごろ,さいきん、きんごろ
copyright,創作物の権利保護。,そうさくぶつのけんりほご。
took,取った,とった
dealer,販売業者、売り手,はんばいぎょうしゃ、うりて
responsibility,責任、義務。行動や結果に対して負うべき義務や責務を意味します。,せきにん、ぎむ。こうどうやけっかにたいしておうべきぎむやせきむをいみします。
description,説明書、記述,せつめいしょ、きじゅつ
scanty,乏しい、不十分な,とぼしい、ふじゅうぶんな
in a nutshell,一言で言えば、極めて簡単に言えば,ひとことでいえば、きわめてかんたんにいえば
vendor,供給者。商品やサービスを他の企業や個人に販売する個人や企業。,きょうきゅうもの。しょうひんやさーびすをほかのきぎょうやこじんにはんばいするこじんやきぎょう。
how often,どのぐらいの頻度,どのぐらいのひんど
permanently,恒久的に、永遠に,こうきゅうてきに、えいえんに
occupation,一定の仕事や職業。,いっていのしごとやしょくぎょう。
hale,元気な、活発な,げんきな、かっぱつな
during,～の間、～を通じて。ある期間の最初から最後まで、その期間中にという意味。,~のかん、~をつうじて。あるきかんのさいしょからさいごまで、そのきかんちゅうにといういみ。
revulsion,嫌悪、反感,けんお、はんかん
hedge bets,賭けを保険する、危険性を減らす,かけをほけんする、きけんせいをへらす
physical fitness,身体の健康と体力,しんたいのけんこうとたいりょく
dynasty,王朝、支配家系。,おうちょう、しはいかけい。
viewer,観察者、視聴者、監視人,かんさつしゃ、しちょうしゃ、かんしにん
instigate,扇動する,せんどうする
merriment,陽気な騒ぎ,ようきなさわぎ
amount to,総計～になる,そうけい~になる
so to speak,言わば,いわば
grow out of,から生じる、脱皮する,からしょうじる、だっぴする
context,文脈、背景,ぶんみゃく、はいけい
excursion,学習や観光目的で行う短期間の旅行や遠足。,がくしゅうやかんこうもくてきでおこなうたんきかんのりょこうやえんそく。
apprentice,見習い職人、修行中の人,みならいしょくにん、しゅぎょうちゅうのにん
work off,徐々に取れる、減らす,じょじょにとれる、へらす
the other way around,逆に,ぎゃくに
surrender to,に降伏する、屈服する,にこうふくする、くっぷくする
dozen,12の,12の
moan,うめき声、苦痛の声,うめきこえ、くつうのこえ
denounce,非難する、批判する,ひなんする、ひはんする
far,遠くに、はるかに。,とおくに、はるかに。
stump,切り株,きりかぶ
introspection,内省,ないせい
undertake,を引き受ける、着手する,をひきうける、ちゃくしゅする
iron,鉄,てつ
fossil,地層中に保存された古代生物の痕跡や遺物。,ちそうなかにほぞんされたこだいせいぶつのこんせきやいぶつ。
rogue,悪党,あくとう
convenience,便利、都合の良さ。,べんり、つごうのよさ。
memorabilia,記憶に値する事柄,きおくにあたいすることがら
tenuous,薄い,うすい
modify,を変更する、を修正する,をへんこうする、をしゅうせいする
the day before yesterday,一昨日,いっさくじつ
shelf life,保存可能期間、賞味期限,ほぞんかのうきかん、しょうみきげん
majestic,雄大な,ゆうだいな
privatization,公営企業の民間移管・民営化,こうえいきぎょうのみんかんいかん・みんえいか
falsify,改ざんする,かいざんする
erroneous,誤った、間違えた,あやまった、まちがえた
scathing,痛烈な、厳しい,つうれつな、いかめしい
take effect,効力を発揮する,こうりょくをはっきする
detour,迂回する、回り道をする,うかいする、まわりみちをする
murmur,つぶやく、小声で話す,つぶやく、こごえではなす
teeter,ぶらぶらする,ぶらぶらする
capable of,ができる、可能で,ができる、かのうで
obstruct,をふさぐ、遮断する,をふさぐ、しゃだんする
agonize,苦しむ,くるしむ
summit,山の最高点や会議の頂上。,やまのさいこうてんやかいぎのちょうじょう。
crease,折り目,おりめ
with a vengeance,すさまじい勢いで、猛烈に,すさまじいいきおいで、もうれつに
take one's time,時間をかけてゆっくりやる,じかんをかけてゆっくりやる
on account of,のため、目的の,のため、もくてきの
game strategy,試合の戦略,しあいのせんりゃく
assail,暴行する,ぼうこうする
informed,情報を伝えられた状態。,じょうほうをつたえられたじょうたい。
face,直面する・顔,ちょくめんする・かお
loud,騒がしい,さわがしい
so,とても,とても
fitful,気まぐれな,きまぐれな
all the same,それでもやはり,それでもやはり
peculiar,独特で奇妙な特徴。,どくとくできみょうなとくちょう。
primordial,原始的な,げんしてきな
antiseptic,殺菌の,さっきんの
worse,より悪い、さらに悪い。比較級で、状況が以前より悪化していること。,よりわるい、さらにわるい。ひかくきゅうで、じょうきょうがいぜんよりあっかしていること。
stale,古くさい、新鮮でない,ふるくさい、しんせんでない
compress,圧縮する,あっしゅくする
landfill,埋め立て、廃棄物処分場。,うめたて、はいきぶつしょぶんば。
overture,序曲、前奏曲,じょきょく、ぜんそうきょく
fret,いらいらする、怒る,いらいらする、いかる
impact,影響、影響する。ある行動や出来事が他の状況や人に与える効果や変化。,えいきょう、えいきょうする。あるこうどうやできごとがほかのじょうきょうやにんにあたえるこうかやへんか。
economic sanctions,経済制裁。他国に対して経済的な制裁措置を講じること。,けいざいせいさい。たこくにたいしてけいざいてきなせいさいそちをこうじること。
sloppy,ずさんな、いい加減な,ずさんな、いいかげんな
sniff,を嗅ぐ、におう,をかぐ、におう
laugh,笑う,わらう
shoulder,肩,かた
synthesize,統合する、まとめる,とうごうする、まとめる
altruism,利他主義、無私無欲,りたしゅぎ、むしむよく
obdurate,頑固な,がんこな
out of the woods,森の外へ、困難を脱して,もりのそとへ、こんなんをだっして
tame,飼い慣らされた、家畜化された、馴染む,かいならされた、かちくかされた、なじむ
burglary,強盗、住宅侵入,ごうとう、じゅうたくしんにゅう
iniquity,不正,ふせい
smallpox,天然痘,てんねんとう
spectacle,光景、ありさま,こうけい、ありさま
as much as to say,と言わんばかりに、と言っているかのように,といわんばかりに、といっているかのように
fish,魚,さかな
biology,生物学、生命の科学的研究。,せいぶつがく、せいめいのかがくてきけんきゅう。
thrust,突き上げる,つきあげる
avail,利用する,りようする
thorn,植物の鋭いとげ、刺。,しょくぶつのするどいとげ、とげ。
pig,ブタ,ぶた
wife,妻,つま
tow,をけん引する、引く,をけんひきする、ひく
confirmation,確認、証明、承認。,かくにん、しょうめい、しょうにん。
churros,揚げた甘い生地,あげたあまいきじ
typically,典型的に、または一般的に。普通や標準的な特徴を持つ様子を表します。,てんけいてきに、またはいっぱんてきに。ふつうやひょうじゅんてきなとくちょうをもつようすをあらわします。
wherever,どこでも、どの場所でも,どこでも、どのばしょでも
gnaw,かじる、噛む,かじる、かむ
might as well do,するかもしれない、起こり得る,するかもしれない、おこりえる
equivalent,等価の、同等の。価値や意味が同じである状態。,とうかの、どうとうの。かちやいみがおなじであるじょうたい。
diagnose,症状を見極め判断。,しょうじょうをみきわめはんだん。
deliver,配達する、届ける、提供する,はいたつする、とどける、ていきょうする
decor,装飾、室内装飾、飾り付け,そうしょく、しつないそうしょく、かざりつけ
ancillary,付属の,ふぞくの
usurp,奪う,うばう
cede,譲る,ゆずる
ladder,はしご。高い場所へ昇り降りするための道具。比喩的に、成功へのステップを表すこともある。,はしご。たかいばしょへのぼりおりするためのどうぐ。ひゆてきに、せいこうへのすてっぷをあらわすこともある。
path,道筋、進路、小道,みちすじ、しんろ、こみち
flood,洪水、氾濫、大量の。,こうずい、はんらん、たいりょうの。
miss out,機会を逃す、見落とす、見過ごす,きかいをのがす、みおとす、みすごす
aviary,鳥小屋,とりごや
hunch,直感、本能,ちょっかん、ほんのう
too,～もまた,~もまた
outdated,時代遅れの,じだいおくれの
material,材料。何かを作るために使われる物質。,ざいりょう。なにかをつくるためにつかわれるぶっしつ。
head off,を回避する、阻止する、避ける,をかいひする、そしする、さける
ivory,象の牙から得られる高価な白い素材。,ぞうのきばからえられるこうかなしろいそざい。
color,色,いろ
urgent,緊急の、差し迫った。即座の対応が必要な状況。,きんきゅうの、さしせまった。そくざのたいおうがひつようなじょうきょう。
what is worse,さらに悪いことには、更に悪化して,さらにわるいことには、さらにあっかして
narrative,物語、話,ものがたり、はなし
and,～と,~と
compilation,編集、修正、校正,へんしゅう、しゅうせい、こうせい
exist,存在する、実在する。現実に有ること。,そんざいする、じつざいする。げんじつにあること。
Chasing dreams one step at a time.,夢に向かって一歩ずつ進んでいます。,ゆめにむかっていっぽずつすすんでいます。
paw,動物の足,どうぶつのあし
heath,荒野、野原,こうや、のはら
describe A as B,AをBだと述べる,AをBだとのべる
mendacious,嘘つきの、不誠実な,うそつきの、ふせいじつな
anger,怒り、憤り,いかり、いきどおり
troubleshooting,問題解決、障害対策,もんだいかいけつ、しょうがいたいさく
glut,満たす、充足させる,みたす、じゅうそくさせる
detection,発見、探知,はっけん、たんち
constrict,狭める、締め付ける,はさめる、しめつける
along,～に沿って。物や場所に平行するように進むことや、道に従って移動することを意味します。,~にそって。ものやばしょにへいこうするようにすすむことや、みちにしたがっていどうすることをいみします。
similar,特徴がよく似ている。,とくちょうがよくにている。
come out with,を見せる、口に出す,をみせる、くちにだす
foreclose,除外する,じょがいする
ample,十分な、余裕のある量。,じゅうぶんな、よゆうのあるりょう。
love,愛,あい
advance,前に進む、前進する、または事前に行うこと。,まえにすすむ、ぜんしんする、またはじぜんにおこなうこと。
deceptive,だまそうとする、当てにならない,だまそうとする、あてにならない
agreement,合意、契約。複数の当事者間での意見の一致や取り決め。,ごうい、けいやく。ふくすうのとうじしゃかんでのいけんのいっちやとりきめ。
fraternity,友愛、友情,ゆうあい、ゆうじょう
increase,増加させる、増える。,ぞうかさせる、ふえる。
low-hanging fruit,簡単に得られるもの,かんたんにえられるもの
go places,遊びまわる、出世する,あそびまわる、しゅっせする
noisy,騒がしい,さわがしい
diplomatic mission,外交使節団。他国に派遣される外交官のグループ。,がいこうしせつだん。たこくにはけんされるがいこうかんのぐるーぷ。
machinery,機械類・機械設備,きかいるい・きかいせつび
gutter,側溝、排水溝,そっこう、はいすいこう
absentee,欠席者、不参加者,けっせきしゃ、ふさんかしゃ
clean,きれいな,きれいな
merchandise,商品、商材。販売のための品物全般。,しょうひん、しょうざい。はんばいのためのしなものぜんぱん。
personal,個人の,こじんの
citadel,城塞,じょうさい
optimum,最適な、最良の。与えられた条件下で最も望ましい状態。,さいてきな、さいりょうの。あたえられたじょうけんかでもっとものぞましいじょうたい。
alternate,代替の、交互の,だいたいの、こうごの
dismissal,解散、解任,かいさん、かいにん
eyelid,まぶた,まぶた
thrifty,倹約な,けんやくな
in practice,実際には、実際,じっさいには、じっさい
inadvertent,不注意な,ふちゅういな
rust,錆び、酸化,さび、さんか
sterilize,殺菌する,さっきんする
custody,子供や財産の法的な管理権、親権。,こどもやざいさんのほうてきなかんりけん、しんけん。
be ready for,の用意ができている,のよういができている
successful,成功した,せいこうした
gargle,うがいする,うがいする
rib,肋骨、あばら骨,ろっこつ、あばらほね
brush,をみがく,をみがく
in place of,の代わりに、変わって,のかわりに、かわって
wind up,巻き上げる、終わりにする,まきあげる、おわりにする
surrender,敵に降伏する行為。,てきにこうふくするこうい。
set up,設立する。,せつりつする。
dm (direct message),直接メッセージ,ちょくせつめっせーじ
choose,選ぶ,えらぶ
invigorate,活気づける、元気づける,かっきづける、げんきづける
tea,お茶,おちゃ
borderline,境界,きょうかい
perk,特典、元気になる,とくてん、げんきになる
be applicable to,に当てはまる、に適している,にあてはまる、にてきしている
as a last resort,最後の手段として、切羽詰まって,さいごのしゅだんとして、せっぱつまって
won,勝った,かった
faraway,非常に遠い、または遠く離れた場所にあること。,ひじょうにとおい、またはとおくはなれたばしょにあること。
insofar,その範囲で、その限りで,そのはんいで、そのかぎりで
be crowded with,で混んでいる、混雑している,でこんでいる、こんざつしている
lift,物を上げる動作。,ものをあげるどうさ。
moor,つなぐ,つなぐ
drool,よだれを垂らす,よだれをたらす
`false,誤った、間違った,あやまった、まちがった
endemic,風土病、地域病、特定の地域で多く見られる病気,ふうどびょう、ちいきびょう、とくていのちいきでおおくみられるびょうき
shit,大便、便,だいべん、びん
mobilize,動員する,どういんする
seductive,魅惑的な,みわくてきな
halt,停止する、中断する,ていしする、ちゅうだんする
foggy,霧のかかった,きりのかかった
obstreperous,騒々しい、手に負えない,そーぞーしい、てにおえない
put on,着る,きる
concern,懸案する。問題や状況について重要と考え、心配や関心を抱くことを意味します。,けんあんする。もんだいやじょうきょうについてじゅうようとかんがえ、しんぱいやかんしんをだくことをいみします。
Let us(Let's),～しましょう,~しましょう
aggrieved,感情を害した,かんじょうをがいした
roam,歩き回る,あるきまわる
rampart,城壁、城の壁,じょうへき、しろのかべ
once upon a time,昔々,むかしむかし
as A as ever,いつものようにAな、相変わらずAな,いつものようにAな、あいかわらずAな
June,6月,6がつ
profitability,収益性、採算性,しゅうえきせい、さいさんせい
proceed,進む、始める,すすむ、はじめる
commotion,騒動,そうどう
as before,以前の様に、以前と同等に,いぜんのように、いぜんとどうとうに
poll,有権者の意見調査。,ゆうけんしゃのいけんちょうさ。
convalescence,回復期,かいふくき
since,～以来。ある時点からずっとという意味を表す。,~いらい。あるじてんからずっとといういみをあらわす。
precocious,早熟の、早く成熟する,そうじゅくの、はやくせいじゅくする
role,特定の役割や機能。,とくていのやくわりやきのう。
add up to,結局～になる、結果として,けっきょく~になる、けっかとして
unlike,～とは違って、～と異なり。比較対象との違いを強調する。,~とはちがって、~とことなり。ひかくたいしょうとのちがいをきょうちょうする。
snap out of,から素早く脱出する、抜け出す,からすばやくだっしゅつする、ぬけだす
standard,標準、基準となるもの。,ひょうじゅん、きじゅんとなるもの。
laconic,簡潔な、寡黙な,かんけつな、かもくな
peruse,熟読する,じゅくどくする
look at,を見る,をみる
overlook,重要な点を見落とす。,じゅうようなてんをみおとす。
die from,で死ぬ,でしぬ
epidemic,伝染病の、流行性の,でんせんびょうの、りゅうこうせいの
yonder,向こう側の、遠くの,むこうがわの、とおくの
pan out,砂金が出る、成功する,さきんがでる、せいこうする
fade,徐々に消えていく、褪せる,じょじょにきえていく、あせる
drought,干ばつ,かんばつ
clock,置き時計,おきどけい
evocative,呼び起こした,よびおこした
hidden,隠された、隠秘の,かくされた、いんぴの
lessen,減らす、減少させる,へらす、げんしょうさせる
lug,力を込めて引く,ちからをこめてひく
idiosyncrasy,特異性、個人的な特徴,とくいせい、こじんてきなとくちょう
hinge,要点、蝶番,ようてん、ちょうつがい
favorable,好ましい、有利な。望ましい状態や条件であること。,このましい、ゆうりな。のぞましいじょうたいやじょうけんであること。
articulate,言葉を明確にする、はっきり話す。,ことばをめいかくにする、はっきりはなす。
it,それは,それは
customs,税関,ぜいかん
funny,面白い、可笑しい、変な,おもしろい、おかしい、へんな
fussy,小うるさい,こうるさい
at the moment,今のところ、現状、現在点,いまのところ、げんじょう、げんざいてん
be weak in,不得意である,ふとくいである
assemble,組み立てる、集合する,くみたてる、しゅうごうする
maiden,未婚の,みこんの
discern,はっきり分かる、認める,はっきりわかる、みとめる
golden rule,黄金律,おうごんりつ
be responsible for,に対して責任がある,にたいしてせきにんがある
bashful,内気な,うちきな
migraine,偏頭痛,へんずつう
ebullient,沸き立つような、元気いっぱいの,わきたつような、げんきいっぱいの
restructure,組織や構造を再編する,そしきやこうぞうをさいへんする
be devoted to,に専念した、に夢中な,にせんねんした、にむちゅうな
damaged,損傷した、壊れた、傷ついた,そんしょうした、こわれた、きずついた
receipt,領収書。支払いを受けたことの証明書。例 a sales receipt(販売の領収書),りょうしゅうしょ。しはらいをうけたことのしょうめいしょ。れい a sales receipt(はんばいのりょうしゅうしょ)
stiffen,を堅くする、硬化する,をかたくする、こうかする
nosy,詮索好きな,せんさくすきな
absent,欠席している、いない状態。,けっせきしている、いないじょうたい。
crash into,衝突する、ぶち当たる,しょうとつする、ぶちあたる
effusive,感情むき出しの,かんじょうむきだしの
by no means,決して～しない,けっして~しない
imprudent,軽率な、無謀な,けいそつな、むぼうな
seed,種子、種,しゅし、たね
season,味付けする,あじつけする
twinkle,瞬きながら輝く、きらめく。,またたきながらかがやく、きらめく。
contrived,わざとらしい、不自然な,わざとらしい、ふしぜんな
glutton,食いしん坊,くいしんぼう
more or less,大なり小なり,だいなりしょうなり
dearth,欠乏、不足,けつぼう、ふそく
century,世紀、100年の期間。,せいき、100ねんのきかん。
take pains,苦労する、骨を折る,くろうする、ほねをおる
speck,斑点,はんてん
pounce,飛び掛かる,とびかかる
reliant,頼っている、信頼している,たよっている、しんらいしている
passion,深い興味や強い情熱。,ふかいきょうみやつよいじょうねつ。
peat,泥炭,でいたん
personally,個人的に、本人自ら,こじんてきに、ほんにんみずから
atomic,原子に関するもの。,げんしにかんするもの。
brick,れんが、れんが状のもの,れんが、れんがじょうのもの
canister,金属容器,きんぞくようき
be considered to,と見なされる、と認識される,とみなされる、とにんしきされる
take issue with,と対立する,とたいりつする
match-up,対戦相手や試合,たいせんあいてやしあい
distant,距離が遠い、隔たっている。,きょりがとおい、へだたっている。
board member,役員。会社の意思決定に関わるメンバー。例 a board of directors(取締役会),やくいん。かいしゃのいしけっていにかかわるめんばー。れい a board of directors(とりしまりやくかい)
ill,病気で、気分の悪い,びょうきで、きぶんのわるい
primitive,初期の、原始的な。,しょきの、げんしてきな。
right off,すぐに、直ちに,すぐに、ただちに
effervescent,発泡性の,はっぽうせいの
poke fun at,をからかう、を馬鹿にする,をからかう、をばかにする
